directory, file,TestType, pass or expected fail,schemaPath,  search term, @id tool linkage, notes
Dataset/actualdata, argo.json ,Notebook link, pass,, Argo GDAC ,"  ""http://n2t.net/ark:/23942/g2j92v"""," ""should link to argovis-Notebook.json"""
Dataset/actualdata,argo.json,JSON schema,pass,../../GeoCodes-DatasetSchema.json,,,"""Missing distribution property, encodingFormat added so will validate"""
Dataset/actualdata,argo.json,SHACL basic,pass,../OtherResources/GeoCodesv1Shapes.ttl,,,"""one Info alert because identifier is wrapped in PropertyValue"""
Dataset/actualdata,argo.json,SHACL recommended,pass,../OtherResources/GeoCodesv1RecommendedShapes.ttl,,,"""one warning because the organization name is not a long enough string, and Info that identifier wrapped in propertyValue"""
Dataset/actualdata,argo.json,SHACL UI,pass,../OtherResources/GeoCodesv1UIShapes.ttl,,,"""one warning because the organization name is not a long enough string, and Info that identifier wrapped in propertyValue"""
Dataset/actualdata,earthchem1.json,JSON schema,pass,../../GeoCodes-DatasetSchema.json,,,"""valid after fix funder and geo; geo is empty object, but JSON validates"""
Dataset/actualdata,earthchem1.json,SHACL basic,warning,../OtherResources/GeoCodesv1Shapes.ttl,,,Warning -- no identifier
Dataset/actualdata,earthchem1.json,SHACL recommended,fail,../OtherResources/GeoCodesv1RecommendedShapes.ttl,,,"Keywords are a single string, not an array of strings; geo object is empty"
Dataset/actualdata,earthchem1.json,SHACL UI,fail,../OtherResources/GeoCodesv1UIShapes.ttl,,,"no identifier, geo is empty--need either geoCoordinates or box; no datePublished"
Dataset/actualdata,earthchem2.json,JSON schema,pass,../../GeoCodes-DatasetSchema.json,,,
Dataset/actualdata,earthchem2.json,SHACL basic,pass,../OtherResources/GeoCodesv1Shapes.ttl,,,
Dataset/actualdata,earthchem2.json,SHACL recommended,pass,../OtherResources/GeoCodesv1RecommendedShapes.ttl,,,
Dataset/actualdata,earthchem2.json,SHACL UI,warning,../OtherResources/GeoCodesv1UIShapes.ttl,,,no date published
Dataset/actualdata,r2r_at_id_doi_null.json,SHACL UI,fail,../OtherResources/GeoCodesv1UIShapes.ttl,,,"""@id"": ""doi:null"","
