name,datasetcount,count
Anoxic Layer Depth,4,4
average depth of tow,4,4
Bill depth,2,2
bottom depth,5,5
Bottom depth,8,8
bottom depth at station,2,2
BOTTOM_DEPTH,7,7
Bottom_Depth_Meters,6,6
bottom_depth_trawl_finish,2,2
bottom_depth_trawl_start,2,2
btm_depth,1849,1849
Composite Depth,19,19
Core Depth,40,40
CTD Depth (m),2,2
deploymentdepth,2,2
depth,2438,2438
Depth,12,12
DEPTH,6,6
Depth (m),33,33
Depth (spatial coordinate) maximum relative to bed surface in the bed,4,4
Depth (spatial coordinate) minimum relative to bed surface in the bed,2,2
Depth (spatial coordinate) of sampling event end relative to water surface in the water body,2,2
Depth (spatial coordinate) of sampling event start relative to water surface in the water body,2,2
Depth (spatial coordinate) relative to bed surface in the bed,7,7
Depth classification,2,2
Depth maximum of biological entity specified elsewhere on the bed by epibenthic sampling,2,2
Depth minimum of biological entity specified elsewhere on the bed by epibenthic sampling,2,2
Depth of the slice below the sediment surface,2,2
Depth of the station,1,1
DEPTH_PENETRATION,4,4
DEPTH_PENETRATION (m),1,1
depthcrs,11,11
DrogueCenterDepth,2,2
enddepth,1,1
how bottom depth was determined eg. from echosounder or underway data.,2,2
Lower depth sampled,2,2
max depth reach by the net,1,1
Max_sedimentdepth_m,1,1
Maximum depth below surface of the bed,2,2
Maximum instrument depth (m),6,6
Maximum Sediment Depth (m),1,1
MaximumDepth_cm,8,8
Mean cell depth,2,2
mean corrected depth,2,2
mean water depth,2,2
Min_sedimentdepth_m,1,1
Minimum depth below surface of the bed,2,2
Minimum instrument depth (m),6,6
Minimum Sediment Depth (m),1,1
MinimumDepth_cm,8,8
Mixed Layer Depth,2,2
Moored instrument depth,2,2
net depth,2,2
net maximum depth,1,1
observation_depth,5,5
OBSERVATION_DEPTH,1,1
Ocean depth,2,2
Ocean Depth,3,3
package_depth,2603,2603
Penetration depth of instrument in the sediment,1,1
Percentage of affected colonies/specimens/individuals in the surveyed depth and study location (range 0-100%),2,2
Sample Depth,3,3
sampling_depth,24,24
sampling_depth_max,14,14
sampling_depth_min,14,14
SamplingDepthMethod,1,1
samplingDepthVerbatim,2,2
sea_floor_depth_below_mean_sea_level,1,1
Sea-floor depth (below instantaneous sea level) {bathymetric depth} in the water body by low-precision navigational echo sounder,8,8
Sea-floor depth (below mean sea level) {bathymetric depth},10,10
Sea-floor depth (below unspecified datum) {bathymetric depth} in the water body by echo sounder,4,4
Sea-floor depth {bathymetric depth} in the water body measured from keel of ship to the sea bottom,1,1
seabeddepth,1,1
Seafloor depth,9,9
Secchi depth,4,4
secchi_disk_depth_in_m,2,2
Standing Water Depth,2,2
temperature at depth of gear deployment,2,2
the depth stratum the tow was completed in,2,2
The distance of the sampling point below the floor of a water body; depth of the core slice,1,1
tow start depth,1,1
transect_depth_meter,1,1
Turbidity (secchi depth),2,2
two start depth,1,1
Upper depth sampled,2,2
water depth,71,71
Water depth,22,22
Water depth (m),1,1
water depth at observation,2,2
